# mapping_set_id: https://w3id.org/lmodel/d3fend/mappings-reference
# license: https://www.apache.org/licenses/LICENSE-2.0
# creator_id: https://github.com/lmodel/d3fend
# mapping_date: 2026-04-01
subject_id,predicate_id,object_id,mapping_justification,subject_label,object_label,mapping_set_id
http://d3fend.mitre.org/ontologies/d3fend.owl#ImageFile,http://www.w3.org/2004/02/skos/core#closeMatch,https://lmodel.github.io/uco-master/Image,https://w3id.org/semapv/ManualMappingCuration,ImageFile,Image,UCO_CLASS_MAPPINGS
http://d3fend.mitre.org/ontologies/d3fend.owl#MACAddress,http://www.w3.org/2004/02/skos/core#exactMatch,https://lmodel.github.io/uco-master/MACAddress,https://w3id.org/semapv/ManualMappingCuration,MACAddress,MACAddress,UCO_CLASS_MAPPINGS
http://d3fend.mitre.org/ontologies/d3fend.owl#MemoryBlock,http://www.w3.org/2004/02/skos/core#narrowMatch,https://lmodel.github.io/uco-master/Memory,https://w3id.org/semapv/ManualMappingCuration,MemoryBlock,Memory,UCO_CLASS_MAPPINGS
http://d3fend.mitre.org/ontologies/d3fend.owl#MobilePhone,http://www.w3.org/2004/02/skos/core#exactMatch,https://lmodel.github.io/uco-master/MobilePhone,https://w3id.org/semapv/ManualMappingCuration,MobilePhone,MobilePhone,UCO_CLASS_MAPPINGS
http://d3fend.mitre.org/ontologies/d3fend.owl#NamedPipe,http://www.w3.org/2004/02/skos/core#exactMatch,https://lmodel.github.io/uco-master/NamedPipe,https://w3id.org/semapv/ManualMappingCuration,NamedPipe,NamedPipe,UCO_CLASS_MAPPINGS
http://d3fend.mitre.org/ontologies/d3fend.owl#NetworkEvent,http://www.w3.org/2004/02/skos/core#narrowMatch,https://lmodel.github.io/uco-master/Action,https://w3id.org/semapv/ManualMappingCuration,NetworkEvent,Action,UCO_CLASS_MAPPINGS
http://d3fend.mitre.org/ontologies/d3fend.owl#NetworkFlow,http://www.w3.org/2004/02/skos/core#exactMatch,https://lmodel.github.io/uco-master/NetworkFlow,https://w3id.org/semapv/ManualMappingCuration,NetworkFlow,NetworkFlow,UCO_CLASS_MAPPINGS
http://d3fend.mitre.org/ontologies/d3fend.owl#OperatingSystem,http://www.w3.org/2004/02/skos/core#exactMatch,https://lmodel.github.io/uco-master/OperatingSystem,https://w3id.org/semapv/ManualMappingCuration,OperatingSystem,OperatingSystem,UCO_CLASS_MAPPINGS
http://d3fend.mitre.org/ontologies/d3fend.owl#Organization,http://www.w3.org/2004/02/skos/core#exactMatch,https://lmodel.github.io/uco-master/Organization,https://w3id.org/semapv/ManualMappingCuration,Organization,Organization,UCO_CLASS_MAPPINGS
http://d3fend.mitre.org/ontologies/d3fend.owl#Person,http://www.w3.org/2004/02/skos/core#exactMatch,https://lmodel.github.io/uco-master/Person,https://w3id.org/semapv/ManualMappingCuration,Person,Person,UCO_CLASS_MAPPINGS
http://d3fend.mitre.org/ontologies/d3fend.owl#Pipe,http://www.w3.org/2004/02/skos/core#exactMatch,https://lmodel.github.io/uco-master/Pipe,https://w3id.org/semapv/ManualMappingCuration,Pipe,Pipe,UCO_CLASS_MAPPINGS
http://d3fend.mitre.org/ontologies/d3fend.owl#Process,http://www.w3.org/2004/02/skos/core#exactMatch,https://lmodel.github.io/uco-master/Process,https://w3id.org/semapv/ManualMappingCuration,Process,Process,UCO_CLASS_MAPPINGS
http://d3fend.mitre.org/ontologies/d3fend.owl#SecurityEvent,http://www.w3.org/2004/02/skos/core#closeMatch,https://lmodel.github.io/uco-master/Action,https://w3id.org/semapv/ManualMappingCuration,SecurityEvent,Action,UCO_CLASS_MAPPINGS
http://d3fend.mitre.org/ontologies/d3fend.owl#Server,http://www.w3.org/2004/02/skos/core#exactMatch,https://lmodel.github.io/uco-master/Server,https://w3id.org/semapv/ManualMappingCuration,Server,Server,UCO_CLASS_MAPPINGS
http://d3fend.mitre.org/ontologies/d3fend.owl#Session,http://www.w3.org/2004/02/skos/core#closeMatch,https://lmodel.github.io/uco-master/UserSession,https://w3id.org/semapv/ManualMappingCuration,Session,UserSession,UCO_CLASS_MAPPINGS
http://d3fend.mitre.org/ontologies/d3fend.owl#Software,http://www.w3.org/2004/02/skos/core#exactMatch,https://lmodel.github.io/uco-master/Software,https://w3id.org/semapv/ManualMappingCuration,Software,Software,UCO_CLASS_MAPPINGS
http://d3fend.mitre.org/ontologies/d3fend.owl#SoftwarePackage,http://www.w3.org/2004/02/skos/core#closeMatch,https://lmodel.github.io/uco-master/Software,https://w3id.org/semapv/ManualMappingCuration,SoftwarePackage,Software,UCO_CLASS_MAPPINGS
http://d3fend.mitre.org/ontologies/d3fend.owl#SymbolicLink,http://www.w3.org/2004/02/skos/core#exactMatch,https://lmodel.github.io/uco-master/SymbolicLink,https://w3id.org/semapv/ManualMappingCuration,SymbolicLink,SymbolicLink,UCO_CLASS_MAPPINGS
http://d3fend.mitre.org/ontologies/d3fend.owl#Thread,http://www.w3.org/2004/02/skos/core#exactMatch,https://lmodel.github.io/uco-master/Thread,https://w3id.org/semapv/ManualMappingCuration,Thread,Thread,UCO_CLASS_MAPPINGS
http://d3fend.mitre.org/ontologies/d3fend.owl#URL,http://www.w3.org/2004/02/skos/core#exactMatch,https://lmodel.github.io/uco-master/URL,https://w3id.org/semapv/ManualMappingCuration,URL,URL,UCO_CLASS_MAPPINGS
http://d3fend.mitre.org/ontologies/d3fend.owl#UserAccount,http://www.w3.org/2004/02/skos/core#exactMatch,https://lmodel.github.io/uco-master/UserAccount,https://w3id.org/semapv/ManualMappingCuration,UserAccount,UserAccount,UCO_CLASS_MAPPINGS
http://d3fend.mitre.org/ontologies/d3fend.owl#UserProcess,http://www.w3.org/2004/02/skos/core#narrowMatch,https://lmodel.github.io/uco-master/Process,https://w3id.org/semapv/ManualMappingCuration,UserProcess,Process,UCO_CLASS_MAPPINGS
http://d3fend.mitre.org/ontologies/d3fend.owl#Volume,http://www.w3.org/2004/02/skos/core#exactMatch,https://lmodel.github.io/uco-master/Volume,https://w3id.org/semapv/ManualMappingCuration,Volume,Volume,UCO_CLASS_MAPPINGS
http://d3fend.mitre.org/ontologies/d3fend.owl#WindowsRegistryKey,http://www.w3.org/2004/02/skos/core#exactMatch,https://lmodel.github.io/uco-master/WindowsRegistryKey,https://w3id.org/semapv/ManualMappingCuration,WindowsRegistryKey,WindowsRegistryKey,UCO_CLASS_MAPPINGS
http://d3fend.mitre.org/ontologies/d3fend.owl#WindowsRegistryValue,http://www.w3.org/2004/02/skos/core#exactMatch,https://lmodel.github.io/uco-master/WindowsRegistryValue,https://w3id.org/semapv/ManualMappingCuration,WindowsRegistryValue,WindowsRegistryValue,UCO_CLASS_MAPPINGS
http://d3fend.mitre.org/ontologies/d3fend.owl#Artifact,http://www.w3.org/2004/02/skos/core#exactMatch,https://lmodel.github.io/stix/Artifact,https://w3id.org/semapv/ManualMappingCuration,Artifact,Artifact,STIX_CLASS_MAPPINGS
http://d3fend.mitre.org/ontologies/d3fend.owl#Attacker,http://www.w3.org/2004/02/skos/core#closeMatch,https://lmodel.github.io/stix/ThreatActor,https://w3id.org/semapv/ManualMappingCuration,Attacker,ThreatActor,STIX_CLASS_MAPPINGS
http://d3fend.mitre.org/ontologies/d3fend.owl#Certificate,http://www.w3.org/2004/02/skos/core#closeMatch,https://lmodel.github.io/stix/X509Certificate,https://w3id.org/semapv/ManualMappingCuration,Certificate,X509Certificate,STIX_CLASS_MAPPINGS
http://d3fend.mitre.org/ontologies/d3fend.owl#CertificateFile,http://www.w3.org/2004/02/skos/core#closeMatch,https://lmodel.github.io/stix/X509Certificate,https://w3id.org/semapv/ManualMappingCuration,CertificateFile,X509Certificate,STIX_CLASS_MAPPINGS
http://d3fend.mitre.org/ontologies/d3fend.owl#CyberAction,http://www.w3.org/2004/02/skos/core#narrowMatch,https://lmodel.github.io/stix/StixDomainObject,https://w3id.org/semapv/ManualMappingCuration,CyberAction,StixDomainObject,STIX_CLASS_MAPPINGS
http://d3fend.mitre.org/ontologies/d3fend.owl#D3FENDKBThing,http://www.w3.org/2004/02/skos/core#narrowMatch,https://lmodel.github.io/stix/StixEntity,https://w3id.org/semapv/ManualMappingCuration,D3FENDKBThing,StixEntity,STIX_CLASS_MAPPINGS
http://d3fend.mitre.org/ontologies/d3fend.owl#DefensiveTechnique,http://www.w3.org/2004/02/skos/core#relatedMatch,https://lmodel.github.io/stix/CourseOfAction,https://w3id.org/semapv/ManualMappingCuration,DefensiveTechnique,CourseOfAction,STIX_CLASS_MAPPINGS
http://d3fend.mitre.org/ontologies/d3fend.owl#DigitalIdentity,http://www.w3.org/2004/02/skos/core#closeMatch,https://lmodel.github.io/stix/Identity,https://w3id.org/semapv/ManualMappingCuration,DigitalIdentity,Identity,STIX_CLASS_MAPPINGS
http://d3fend.mitre.org/ontologies/d3fend.owl#Directory,http://www.w3.org/2004/02/skos/core#exactMatch,https://lmodel.github.io/stix/Directory,https://w3id.org/semapv/ManualMappingCuration,Directory,Directory,STIX_CLASS_MAPPINGS
